Geneid,"RNA STAR on dataset 4, 5, and others: mapped.bam"
CG9386,13
CG8199,325
AP-1mu,341
MBD-like,69
CG9393,144
Vps45,119
CG16789,17
CG16790,176
CG9396,359
CG9399,793
Kap-alpha3,1998
CG8273,14
CG8301,275
CG33654,0
P58IPK,386
bocks,140
CG8312,394
CG9427,160
CG8319,10
Calr,1087
SpdS,180
Scm,223
Dh44,765
Fst,0
CG9492,11
CG43441,1
CG8358,14
CG16817,2218
nmdyn-D7,1
CG9444,85
eca,502
CG18542,0
Unc-115b,0
p24-2,10
CG32939,0
Unc-115a,702
trbd,943
dmt,35
hyd,183
FoxP,145
alphaTub85E,53
CG12950,389
Pnn,247
CG34409,12
CG31415,1
CG12948,183
PpD3,363
CG16908,14
Rpt3R,0
CG8412,60
CG8417,241
Snap24,1317
CG8478,1
MED6,69
CG8481,1476
CG9471,76
Whamy,2
topi,1
RpS29,23146
CG12947,12
MtnA,1756
CG8500,2526
CG12945,337
CG8507,181
CG8516,140
CG9467,444
CG8526,1
FBXO11,500
CG8534,0
eloF,0
CG16904,0
CG9459,0
CG9458,0
CG42857,0
CG34302,0
Teh1,392
Glut4EF,1948
Art4,172
Gr85a,1
Spn85F,1
CG5359,64
Mical,3014
CG31407,3
CG3909,18
CG11722,27
mtTFB2,1
CG12811,174
ohgt,168
Fancl,0
Npc2e,0
Npc2d,0
Npc2c,0
CG33630,0
CG33631,0
CG33783,0
CG33784,11
nerfin-2,2
CG5361,1
Fmr1,346
CG3940,742
gammaSnap2,127
ATPsynepsilonL,6
knk,49
tws,307
TAF1B,33
CG42759,8
Invadolysin,1216
CG34303,0
CG6254,17
Best1,271
CG12814,1275
Syn,4754
Timp,1460
CG12420,1
CG12817,100
CG34107,0
CG42795,87
CG3999,131
Sirt6,3
pont,44
CG43143,229
CG6293,122
Bruce,378
CG12818,10
sle,10
CG12592,0
CG18545,0
CG31406,0
jumu,88
Rfx,161
cwo,779
mthl11,0
CG6325,117
Irp-1B,551
Rrp46,16
CG6345,17
CG46270,0
Cyp12e1,31
hth,1377
CG6465,30
CG14688,662
Skeletor,239
pug,947
CG14683,165
CG31391,0
CG31467,3
CG14684,0
CG31278,64
CG31373,4
CG14689,0
CG4073,0
tomboy20,0
TkR86C,63
CG14691,1
CG31272,15
MED7,169
Cap-H2,182
TfIIFbeta,150
CG45076,179
fau,51
CG45078,8547
Desi,8
CG42633,7
mRpL37,12
Rbp1,325
Art1,318
Mcm5,13
CG14687,694
CG14692,4
CG14693,32
CG4089,145
Cad86C,380
CG42394,735
CG4565,3
CG6567,170
CG4511,291
CG4570,0
CG14694,17
CG6574,175
SelR,1616
Tsp86D,301
Fdh,430
CG4596,290
Sodh-2,152
CG14695,9
Tpc1,237
CG14696,96
Leash,60
Adk3,259
CG6621,15
Tengl4,0
CG34114,464
CG43449,0
CG6629,0
Ugt86Dd,256
CG4706,0
CheA86a,0
Ugt86Di,13
Ugt86Dc,0
Ugt86Da,167
CG4757,54
Ugt86Dg,0
Ugt86De,2
Ugt35b,521
Ugt35a,55
Ugt86Dj,0
Ugt86Dh,0
CG18577,69
cu,408
SdhC,1327
Tctp,8148
ZnT86D,173
RpS25,5624
CG4820,11
CG6689,25
CG6693,171
RpL3,23854
scpr-C,8
CG17726,18
GCC88,108
CG17187,39
CG14701,65
Arfip,405
CG17721,54
CG31441,42
CG31388,113
scpr-B,1
scpr-A,0
CG17734,2533
CG5214,1799
pros,6720
KP78a,51
KP78b,0
mRpL40,59
mgr,380
Irbp,149
Ranbp9,50
CG6723,368
CG45676,8
ninaG,44
CG5270,104
CG18643,61
RpL24-like,684
CG5276,132
CG6744,62
CG5281,149
sals,32
CG17230,8
PGRP-LB,94
dpr5,95
dpr4,718
CG14708,0
CG10898,79
fabp,16137
sea,0
Mrp4,153
CG6790,0
CG5342,0
wkd,866
CG6791,167
Jupiter,689
CG14710,14
CG6808,15
CG14711,39
CG6813,44
CG18764,6
CG14712,11
Csk,1340
Elp1,37
CG42327,475
CG14715,329
CG18476,23
Taf12,93
Ho,1084
CG6830,51
CG6834,58
CG6908,447
CG18765,0
Fer3,1
CG14717,2
CG14718,0
I-t,0
CG14720,3
CG12594,230
CG14721,139
Blm,11
CG14722,179
CG6923,36
CG43062,0
Lk6,7172
l(3)neo38,1455
CG17360,287
HisCl1,365
Sbf,182
ClC-a,3876
glo,505
COX5A,4003
CG6950,131
CG6959,1178
sad,7
CG6962,7
CG31368,24
mthl5,77
CG6971,2
Cad87A,483
CG34307,0
CG14731,0
CG31211,483
Hsp70Aa,7
Hsp70Ab,0
CG3281,41
aurA,4
CG12213,415
GC1,1010
Tango9,732
GC2,2
CG10005,7
CG18547,40
CG12224,3
CG3397,0
mfas,271
Tk,315
Ect3,371
KLHL18,209
GCC185,128
DCAF12,48
Spt3,10
CG31358,0
CG42505,0
CG42504,0
ssp5,0
CG14736,0
CG14739,0
CG14740,0
ATP8B,383
dpr17,70
CG4702,17
dpr15,250
Cpn,206
eIF3d2,0
CG43450,0
CG3809,0
CG4830,1
Cog1,306
CG14742,56
CG4860,48
CG10014,0
CG17404,33
CG12256,7
CG3916,2
Pglym87,0
Cyp313a5,0
Cyp313a2,0
Cyp313a3,1
CG3942,0
svp,332
CG44037,0
CG44038,0
CG17738,3
Sfp87B,0
CG4066,0
CG10013,1
CG44956,0
CG10038,24
CG10041,1
MBD-R2,56
CG4115,564
Tim17a1,0
GstD10,18
GstD9,81
GstD1,3326
GstD2,45
GstD3,107
GstD4,1
GstD5,13
GstD6,0
GstD7,0
GstD8,25
CG10035,2
GstD11,22
CG34402,7
CG33098,47
CG10096,0
CG10097,89
Cyp9f3,20
lig3,47
Cyp9f2,440
CG5167,203
CG5196,215
Dip-C,184
pps,8
Scgbeta,116
CG17202,139
Pp1-87B,1165
NANS,8
CG5641,105
CG5245,3
Prosalpha2,900
Aos1,52
CG5844,164
Desat2,0
CG17207,0
Desat1,9674
CG5538,0
CG18549,426
CG5509,20
trus,155
CG5961,91
CG12267,4
CG5608,67
Hsp70Ba,1
Hsp70Bbb,0
Hsp70Bb,0
Hsp70Bc,478
Octbeta3R,335
Hug,112
Octbeta2R,2587
Vha55,833
Snx3,814
Not10,54
CG18530,4
CG11598,1
CG11600,0
CG11608,0
CG6753,81
Dtg,85
CG6225,308
CG14395,2
Gnmt,132
CG43630,1
mbo,40
Cyp313a4,2
kar,609
Su(fu),122
CG31347,1
Arp1,774
CG14391,0
NijC,479
Past1,706
CG12279,120
mus308,5
Men,4777
CG5724,0
CG5999,5
beat-Vc,159
CG31345,260
beat-Va,482
CG10126,419
d-cup,0
CG10909,0
beat-Vb,45
grsm,265
Spc25,5
Cyp304a1,16
CG14384,0
CG7381,47
CG7091,2
Paip2,1090
CG31342,332
CG14383,0
yellow-f,27
yellow-f2,175
CG7488,47
CG17327,0
CG44194,443
CG7518,260
CG8031,221
CG11656,0
CtBP,1740
CG46280,731
CG46281,1
l(3)87Df,210
ry,49
CG11668,16
snk,0
CG11670,0
CG45122,1
Hsc70-2,2
CG31157,0
CG7966,77
pic,187
sim,7
CG43063,0
timeout,2
CG34308,0
2mit,1895
CG8138,0
CG8508,0
CG14380,0
CG8141,0
CG8483,745
CG8476,2
Ace,1999
CG11686,69
Ravus,14
Su(var)3-7,135
TBC1D5,38
CG8630,1026
CG15888,0
CG15887,6
Osi22,0
wntD,0
CG8773,0
CG8774,0
CG32473,170
CG43208,0
CG44142,15
CG45080,66
PK2-R2,10
PK2-R1,17
mthl12,0
poly,148
Dic1,710
CheA87a,5
Lip3,2
CG34309,19
CG9813,1238
CG8870,3
mRpS21,166
Droj2,2684
CG9799,28
CCHa2,885
CG14374,0
CG14377,4
GILT1,1284
CG33977,89
yellow-e3,0
yellow-e2,3
yellow-e,108
Ir87a,0
Act87E,3451
yrt,413
CG14372,343
CG12538,0
CG42778,0
CG31337,11
CG14370,0
CG14369,0
CG9759,63
CG9757,1
CG9269,0
CG10841,0
sqd,1861
rin,639
Rbp4,2
Hrb87F,218
B52,2582
Task6,112
CG9588,332
Lkb1,208
omd,69
flfl,1282
CG14367,56
f-cup,889
ninaB,654
Adgf-D,80
Adgf-C,14
CG31469,79
primo-1,0
primo-2,659
CG34383,4813
Ubc87F,0
CG9312,99
Cht5,951
CG9297,4044
CG9288,0
CG42375,790
CG9286,0
Dip-B,669
tal-1A,78
tal-3A,0
tal-AA,0
tal-2A,0
Mst87F,0
Nsf2,219
CG31495,27
CG14362,0
E5,5
ems,15
Art9,0
Art6,0
CG31517,0
CG9926,0
Ipp,908
CG9925,0
Orc2,0
rdx,610
Cyp6d5,905
CG3061,1202
CG9922,152
foxo,1227
Npc2b,3359
CCHa1,38
CG9920,21
PK1-R,42
CG12402,247
Or88a,1
CG14357,0
Kif19A,5
Abi,392
twf,160
140up,85
RpII140,46
CG14356,12
CG14355,0
CG42500,1
CG9722,0
CG44215,0
CG31533,0
CG31327,0
CG3199,0
Dop1R1,1136
CG9649,215
CG31326,719
CG33109,42
Sp212,10
CG9631,235
CG9624,0
CG43291,21
CG9616,4
MetRS-m,48
CG43179,4
CG14840,0
CG14841,0
CG14839,0
trx,1015
red,690
CG3259,10
su(Hw),83
RpII15,187
CG31321,113
Crz,145
PR-Set7,166
Afti,501
ATPsynE,2402
spn-B,8
NK7.1,263
HEATR2,18
soti,1
cv-c,1047
natalisin,52
HtrA2,33
mRpL11,41
CG8461,26
Pde6,400
CG34273,0
Cyp313a1,527
CG14854,23
CG14850,0
CG14851,0
CG8087,0
CG14852,0
CG31313,11928
CG8066,505
Cys,9298
CG7987,187
CG44094,2
stumps,131
CG14853,477
put,1343
His4r,5112
CG7886,2
Cad88C,5
l(3)L1231,385
CG3505,154
Hexim,152
Rad17,35
BigH1,0
Meltrin,565
kibra,17
CG7530,739
eff,5120
jvl,1300
smp-30,479
CG7362,0
CG14855,8
CG14856,15
CG14857,8
btsz,1463
CG3610,0
CG3631,47
Rrp6,41
CG33331,18
CG33332,11
CycC,80
UQCR-C1,1560
CG7265,43
CG14860,2
Nup93-2,9
CG3817,5
VhaPPA1-2,0
RpS5b,2
VhaPPA1-1,3729
Sdr,128
CG14861,0
RpL10Aa,0
dpr9,1965
CG6974,12
CG6966,3454
CG42788,353
CG6912,63
CG3984,39
CG3987,5
GlyS,896
Gyc88E,139
Mf,30963
CG6752,28
CG42542,1109
Spn88Ea,362
Spn88Eb,40
Mau2,28
CG6654,24
CG4210,24
SIDL,63
CG12241,182
Rpb7,19
CG31344,166
Caf1-55,115
Art3,4
mRpS10,214
CG34316,0
tefu,8
Hsc70-4,12316
Amt,18
CG42404,702
eIF2gamma,920
Su(var)3-9,16
Set,129
ATPsynO,3739
CG14864,1
Zip88E,30
Cp190,265
CG4338,40
MRG15,78
l(3)neo43,248
Tm1,11078
CG45218,3
Tm2,10317
CG14866,0
CG6276,65
CG44040,0
ear,175
CG6236,114
ea,54
mRpL9,94
FK506-bp1,131
Sra-1,474
CG6218,676
SerRS-m,114
Surf4,745
CG31301,104
CG42727,0
CG42726,95
Trs33,45
CG5038,53
Atg4b,134
CG5044,504
ldlCp,152
Trax,40
CG6171,181
CG34404,427
CG14868,118
CG6136,110
Ccm3,1263
Rbp,296
h-cup,2
CG6125,167
Atx2,428
CG6118,2
Act88F,74
AdamTS-A,287
B9d1,1
Rh6,3172
Trissin,85
obe,55
CG5213,0
CG44014,126
CG44013,1
CG31296,2
AOX1,74
AOX2,1
AOX3,194
AOX4,8
CG43335,0
CG43336,5
pxb,76
CG31446,0
CG5399,489
CG5404,221
CG31294,0
CG34274,0
CG4520,0
CG12784,0
CG5623,0
CG4525,6
CG5614,0
CG9590,111
CG9589,9
c(3)G,10
Acyp2,235
nsl1,1297
CG9593,3
alpha-Man-IIb,885
rec,15
CG4576,27
CG43318,0
CG43317,0
Arpc3A,259
ND-23,1039
spn-E,9
Pbp45,4
cv-d,38
CG4546,11
Hmt-1,253
CG31183,42
CG9632,0
CG14877,0
glob1,4783
EndoU,142
CG45105,84
Fbxl7,230
CG34276,13
CG5478,0
blp,236
Sap47,10105
CG31088,0
CG4287,402
CG5516,39
CG32856,104
Rbf2,0
mor,123
Hel89B,183
srp,161
GATAe,1
pnr,20
CG10264,0
CG10407,67
IKKbeta,51
CG5013,15
msps,809
CG10185,41
Mhcl,366
CG32855,9
sxe2,266
Akt1,1300
Sb,7
CG5903,906
CG5916,131
Fer2,53
CG6006,213
CG8925,67
CG8927,454
Bin1,74
sra,1143
CG6126,402
CG31287,1
mtSSB,110
tara,248
bor,321
asun,28
Mst89B,0
Mat89Ba,19
gish,1726
Zip89B,19
Sulf1,234
CG44044,0
CG6901,0
CG17929,0
CG17930,1
SF2,1312
pad,7
CG14879,43
Manf,290
CG10311,729
CG17931,56
CG42446,417
CG14880,11
CG10317,0
ss,46
CG31279,2
CG17565,68
CG14881,104
mRpS33,157
ema,64
CG14894,269
CG14882,41
Pak3,1331
CG10405,0
CG14883,119
CG42232,28
CSN5,100
Gyc89Da,5
Gyc89Db,9
Dhfr,49
Sdhaf3,44
Der-2,227
Cad89D,3
Gr89a,0
Decay,0
CG42342,397
CG14891,0
CG14903,16
Scp2,5543
CG14892,18
CG10345,1439
NPF,216
CG12783,2
CG10340,234
CG17562,0
CG17560,1
CG14893,0
CG14905,1
Fas1,4287
nonA-l,126
Arl6IP1,859
CG10324,12
CCT3,308
CG14906,8
CG14907,39
modSP,385
Ubx,5
CG31275,0
Glut3,0
abd-A,0
Abd-B,0
VhaM9.7-d,0
Actn3,0
AhcyL2,38
CG18622,963
MESK4,13
CG3678,430
CG31274,2
CG17556,254
CG3534,169
Sf3a1,58
Irc,888
CG8907,6
Pxd,125
AdSL,929
CG5225,0
CG31268,20
CG4009,1
CG18213,1
CG5220,41
CG3995,24
Patr-1,243
Dad,259
Ns1,38
mRpS11,149
Keap1,248
kuk,608
GckIII,198
cal1,90
cher,475
CG34278,0
CG42779,0
CG45079,0
CG17477,0
CG31269,0
CG31265,0
CG17475,0
CG4053,0
CG31266,0
CG31267,0
CG5246,0
CG5255,15
CG5265,0
TwdlW,1
m-cup,284
Det,12
CG5285,12
CG5292,385
Mur89F,0
CG31262,1
beat-IIb,160
CG44259,5
CG44257,5
CG31418,0
CG31419,0
beat-IIa,734
Brf,153
lute,1095
sds22,150
CREG,424
Sur-8,3083
CG34279,172
CG34280,0
CG42823,0
CG42824,0
CG42798,1
CG17283,0
CG5860,0
CG5863,0
CG42821,35
CG42822,5
CG5866,0
CG33333,0
CG42834,0
CG42835,0
CG14332,0
cysu,113
CG44090,0
CG14331,13
Eh,127
CG14330,0
Dscam3,220
CG5823,169
P5cr-2,258
l(3)07882,64
SF1,597
Prx3,666
Hmx,23
CG7587,0
Sgs5,0
CG7606,0
sll,83
CG14329,0
Edg91,60
CG34281,18
CG14327,1
CG14324,0
CG14326,3
CG14323,0
AttD,44
CG14325,0
CG43175,10
CG14322,31
CG7523,185
Mps1,0
alt,578
CG7655,40
CG31251,3
CG31360,145
CG31249,61
osa,861
Pxt,0
Atg8b,0
Lgr1,42
CG14321,131
TyrRII,34
TyrR,71
CG43102,413
pasi1,173
CG7379,91
CG17803,8
CG17806,32
CG17802,39
CG17801,0
Odj,69
CG18012,149
tinc,164
Rim,2064
CG12347,0
CG43445,0
cpo,4518
DNaseII,234
CG7785,232
CG7794,0
htl,186
CG14317,0
sr,303
CG14316,0
CG14315,0
CG7218,258
Cbp20,88
CG7215,4744
Prx5,0
wrd,2081
cdm,165
CG7208,1
Arp5,13
CG12321,315
MED17,47
CG14313,3
Ssdp,1104
CG7985,158
CG44158,3
CG14314,147
CG7183,55
CG7988,17
mTerf5,44
Non3,55
CG7168,84
Mdh2,3234
repo,560
CG7156,73
14-3-3epsilon,4129
CG12320,39
CG18598,383
Ada2a,386
Rpb4,0
moi,373
Tgs1,0
CG18599,6
Vps39,34
eIF1A,7542
CG7142,3
CG14312,67
CG8064,26
CG7131,38
l(3)05822,345
Dlc90F,557
CG18600,55
CG7126,0
PKD,347
CG31235,42
CG15803,186
hmw,0
WRNexo,13
Nup43,19
gl,356
CG7675,717
CG14309,0
cona,0
Vha100-4,0
Vha100-2,547
Vti1b,229
CG12333,969
koko,15
CG7685,43
CG31122,331
CG10864,17
fru,458
CG7691,0
CG43210,0
hemo,56
CG7694,98
fray,296
qin,2
CG14304,18
CG14305,0
CG7695,356
CG14301,198
CG31224,505
CstF64,36
Cpsf73,15
Gos28,198
CG31231,0
CG31229,156
CG7702,39
CG31230,2
CG7705,765
CG7706,23
CG46318,1416
CG7708,819
Muc91C,0
CG14300,0
CG34282,0
ChAT,1307
VAChT,1108
CG34283,0
CG7714,8
CG7715,0
CG14302,2
Mekk1,115
CG7718,74
gwl,1
Epg5,69
CG7720,339
CG18208,645
CG31226,0
CG14298,375
CG14297,0
Rh2,913
CG14294,0
CG34284,0
